N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,8.0,n^(1/q),2.000000,7,0.0000000041,0.0000001192,0.0000002084
256,8.0,n^(1/q),2.000000,8,0.0000000000,0.0000000000,0.0000002083
256,8.0,n^(1/q),2.000000,9,0.0000000041,0.0000001192,0.0000002084
256,8.0,eps=0.1,0.100000,0,0.9058954716,0.9262727499,104190640.0000000000
256,8.0,eps=0.1,0.100000,1,0.8940824270,0.9163104892,40630772.0000000000
256,8.0,eps=0.1,0.100000,2,0.8807788491,0.9049538374,15845724.0000000000
256,8.0,eps=0.1,0.100000,3,0.8657943010,0.8920133114,6180233.5000000000
256,8.0,eps=0.1,0.100000,4,0.8489134312,0.8772732615,2410677.7500000000
256,8.0,eps=0.1,0.100000,5,0.8298922777,0.8604878187,940419.5000000000
256,8.0,eps=0.1,0.100000,6,0.8084545135,0.8413760662,366910.5625000000
256,8.0,eps=0.1,0.100000,7,0.7842864990,0.8196166158,143174.0000000000
256,8.0,eps=0.1,0.100000,8,0.7570315599,0.7948417068,55878.4375000000
256,8.0,eps=0.1,0.100000,9,0.7262839079,0.7666773200,21812.8710937500
256,8.0,eps=1.0,1.000000,0,0.0589546785,0.2627274692,0.6865806580
256,8.0,eps=1.0,1.000000,1,0.0188253913,0.1710325480,0.1666852385
256,8.0,eps=1.0,1.000000,2,0.0032207258,0.0851224363,0.0245302431
256,8.0,eps=1.0,1.000000,3,0.0002039072,0.0247483440,0.0014639497
256,8.0,eps=1.0,1.000000,4,0.0000028684,0.0023529839,0.0000204492
256,8.0,eps=1.0,1.000000,5,0.0000000056,0.0000222361,0.0000002429
256,8.0,eps=1.0,1.000000,6,0.0000000041,0.0000001192,0.0000002084
256,8.0,eps=1.0,1.000000,7,0.0000000000,0.0000000000,0.0000002083
256,8.0,eps=1.0,1.000000,8,0.0000000041,0.0000001192,0.0000002084
256,8.0,eps=1.0,1.000000,9,0.0000000000,0.0000000000,0.0000002083
256,8.0,n^(1/q)/2,1.000000,0,0.0589546785,0.2627274692,0.6865806580
256,8.0,n^(1/q)/2,1.000000,1,0.0188253913,0.1710325480,0.1666852385
256,8.0,n^(1/q)/2,1.000000,2,0.0032207258,0.0851224363,0.0245302431
256,8.0,n^(1/q)/2,1.000000,3,0.0002039072,0.0247483440,0.0014639497
256,8.0,n^(1/q)/2,1.000000,4,0.0000028684,0.0023529839,0.0000204492
256,8.0,n^(1/q)/2,1.000000,5,0.0000000056,0.0000222361,0.0000002429
256,8.0,n^(1/q)/2,1.000000,6,0.0000000041,0.0000001192,0.0000002084
256,8.0,n^(1/q)/2,1.000000,7,0.0000000000,0.0000000000,0.0000002083
256,8.0,n^(1/q)/2,1.000000,8,0.0000000041,0.0000001192,0.0000002084
256,8.0,n^(1/q)/2,1.000000,9,0.0000000000,0.0000000000,0.0000002083
256,8.0,n^(1/q)*2,4.000000,0,2.7641811371,2.9997930527,0.9998381138
256,8.0,n^(1/q)*2,4.000000,1,0.8820906878,0.9998965263,0.9867966771
256,8.0,n^(1/q)*2,4.000000,2,0.0589546785,0.2627274692,0.6865806580
256,8.0,n^(1/q)*2,4.000000,3,0.0188253913,0.1710325480,0.1666852385
256,8.0,n^(1/q)*2,4.000000,4,0.0032207258,0.0851224363,0.0245302431
256,8.0,n^(1/q)*2,4.000000,5,0.0002039072,0.0247483440,0.0014639497
256,8.0,n^(1/q)*2,4.000000,6,0.0000028684,0.0023529839,0.0000204492
256,8.0,n^(1/q)*2,4.000000,7,0.0000000056,0.0000222361,0.0000002429
